Headword,First Element,Definition,Part of Speech,Semantic Group,Frequency Rank
ā ab abs,ab,"from, by (+abl.)",Preposition,Place,21
abeō -īre -iī -itum,abeo,go away,Verb: Irregular,Motion,553
absum abesse āfuī,absum,"be away, absent",Verb: Irregular,Travel,445
ac,ac,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque",Conjunction,Conjunctions/Adverbs,36
accēdō -cēdere -cessī -cessum,accedo,approach,Verb: 3rd Conjugation -ō,Motion,614
accidō -cidere -cidī,accido,fall; happen,Verb: 3rd Conjugation -ō,Motion,799
accipiō -cipere -cēpī -ceptum,accipio,receive,Verb: 3rd Conjugation -iō,Social Life,110
ācer ācris ācre,acer,"sharp, piercing",Adjective: 3rd Declension,Other Senses,587
aciēs -ēī f.,acies,edge; line of battle,Noun: 5th Declension,War and Peace,439
ad,ad,"to, up to, towards (+acc.)",Preposition,Place,14
addō -dere -didī -ditum,addo,give to,Verb: 3rd Conjugation -ō,Social Life,433
addūcō -ere -dūxī -ductum,adduco,"lead to, induce",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,886
adeō -īre -iī -itum,adeo,go to,Verb: Irregular,Motion,595
adeō,adeo,"(adv.) to such a degree, so",Adverb,Conjunctions/Adverbs,555
adhibeō -hibēre -hibuī -hibitum,adhibeo,apply,Verb: 2nd Conjugation,Making/Doing,959
adhūc,adhuc,"thus far, to this point",Adverb,Place,379
adveniō -īre -vēnī -ventum,advenio,"come to, arrive at",Verb: 4th Conjugation,Travel,987
adversus -a -um,adversus,"facing, opposed; unfavorable",Adjective: 1st and 2nd Declension,War and Peace,657
adversus (-um),adversus,"(adv. and prep.) facing, opposite, against, opposed (to)",Adverb,War and Peace,460
advertō -vertere -vertī -versum,adverto,turn towards,Verb: 3rd Conjugation -ō,Motion,986
aedēs -is f.,aedes,building; (pl.) house,Noun: 3rd Declension,The House,965
aeger aegra aegrum,aeger,sick,Adjective: 1st and 2nd Declension,Life and Being,810
aegrē,aegre,with difficulty,Adverb,Life and Being,984
aequē,aeque,equally,Adverb,Justice,904
aequor aequoris n.,aequor,"level surface, sea, plain",Noun: 3rd Declension,Earth and Water,424
aequus -a -um,aequus,equal,Adjective: 1st and 2nd Declension,Justice,610
āēr āeris m.,aer,air,Noun: 3rd Declension,Air and Fire,845
aes aeris n.,aes,"copper, bronze",Noun: 3rd Declension,Business/Money,744
aetās -tātis f.,aetas,"age, time of life",Noun: 3rd Declension,Lengths of Time,308
aeternus -a -um,aeternus,"everlasting, eternal",Adjective: 1st and 2nd Declension,Lengths of Time,734
aethēr aetheris n.,aether,"pure upper air, ether, heaven, sky",Noun: 3rd Declension,Air and Fire,851
aevum -i n.,aevum,"eternity; lifetime, age",Noun: 2nd Declension,Lengths of Time,875
afferō afferre attulī allātum,affero,bring to,Verb: Irregular,Verbs of Transport,514
afficiō -ficere -fēcī -fectum,afficio,"affect, visit with (+ abl.)",Verb: 3rd Conjugation -iō,Social Life,958
ager agrī m.,ager,field,Noun: 2nd Declension,Animals/Plants,324
