"Latin Word","First Element","Definition","Chapter",
"-ve","ve","or (suffix)",33,
"a/ab (+abl) ","ab","away from, from; by",14,
"absens (gen: absentis) ","absens","absent",37,
"accedo, accedere, accessi, accessum ","accedo","to come (to), approach",36,
"accipio, accipere, accepi, acceptum ","accipio","to take (to one’s self), receive, accept",24,
"acer, acris, acre ","acer","sharp, keep, eager; severe, fierce",16,
"acerbus, acerba, acerbum ","acerbus","harsh, bitter, grievous",12,
"ad (+acc) ","ad","to(ward), up to, near",8,
"adfero, adferre, attuli, allatum ","adfero","to bring to",31,
"admitto, admittere, admisi, admissum ","admitto","to admit, receive, let in",17,
"adulescens, adulescentis (m/f) ","adulescens","young man or woman",12,
"adulescentia, adulescentiae (f) ","adulescentia","youth, young manhood; youthfulness",5,
"adversus, adversa, adversum ","adversus","opposite, adverse",34,
"aedificium, aedificii (n) ","aedificium","building, structure",39,
"aequus, aequa, aequum ","aequus","level, even; calm, equal, just; favorable",22,
"aes, aeris (n) ","aes","bronze",40,
"aestas, aestatis (f) ","aestas","summer",35,
"aetas, aetatis (f) ","aetas","period of life, life, age, an age, time",16,
"ager, agri (m) ","ager","field, farm",3,
"ago, agere, egi, actum ","ago","to drive, lead, do, act; pass, spend",8,
"agricola, agricolae (m) ","agricola","farmer",3,
"ait, aiunt ","ait","he says, they say",25,
"aliquis, aliquid ","aliquis","someone, somebody, something",23,
"alius, alia, aliud ","alius","other, another",9,
"alo, alere, alui, altum ","alo","to nourish, support, sustain, increase; cherish",13,
"alter, altera, alterum ","alter","the other (of two), second",9,
"ambulo, ambulāre, ambulavi, ambulatum ","ambulo","to walk",39,
"amica, amicae  (f) and amicus, amici (m) ","amica","friend",3,
"amicitia, amicitiae (f) ","amicitia","friendship",10,
"amicus, amica, amicum ","amicus","friendly",11,
"amitto, amittere, amisi, amissum ","amitto","to lose, let go",12,
"amo, amāre, amavi, amatum ","amo","to love",1,
"amor, amoris (m) ","amor","love",7,
"anima, animae (f) ","anima","soul, spirit",34,
"animal, animalis (n)* ","animal","animal, living creature",14,
"animus, animi (m) ","animus","soul, spirit, mind; heart, mind, intellect, courage",5,
"annus, anni (m) ","annus","year",12,
"ante (+acc) ","ante ","before, in front of",13,
"antepono, anteponere, anteposui, antepositum ","antepono","to put before, prefer",35,
"antiquus, antiqua, antiquum ","antiquus","ancient, old",2,
"appello, appellāre, appellavi, appellatum","appello","to speak to, address (as), call, name",14,
"apud (+acc) ","apud","among, in the presence of, at the house of",31,
"aqua, aquae (f) ","aqua","water",14,
"arbitror, arbitrāri, arbitratus sum ","arbitror","to judge, think",34,
"arbor, arboris (f) ","arbor","tree",38,
"argumentum, argumenti (n) ","argumentum","proof, evidence, argument",19,
"arma, armorum (n) ","arma","arms, weapons",28,
"ars, artis (f)* ","ars","art, skill",14,
"arx, arcis (f)* ","arx","citadel, stronghold",23,
"as, assis (m) ","as","an as",31,
"Asia, Asiae (f) ","Asia","Asia",12,
"asper, aspera, asperum ","asper","rough, harsh",21,
"at ","at ","but; but, mind you; but, you say (more  emotional than sed)",19,
"Athenae, Athenarum (f) ","Athenae","Athens",37,
"ac","ac","and, and also, and even",21,
"atque/ac ","atque","and, and also, and even",21,
"auctor, auctoris (m) ","auctor","increaser, author, originator",19,
"audeo, audēre, ausus sum ","audeo","to dare",7,
"audio, audire, audivi, auditum ","audio","to hear, listen to",10,
"auditor, auditoris (m) ","auditor","hearer, listener; member of an audience",16,
"auris, auris (f)* ","auris","ear",14,
"aut ","aut ","or (aut . . . aut ",17,
"autem ","autem ","(post positive) however; moreover",11,
"auxilium, auxilii (n) ","auxilium","help, aid",31,
"avarus, avara, avarum ","avarus","greedy, avaricious",3,
"basium, basii (n) ","basium","kiss",4,
"beatus, beata, beatum ","beatus","happy, fortunate, blessed",10,
"bellum, belli (n) ","bellum","war",4,
"bellus, bella, bellum ","bellus","pretty, handsome, charming",4,
"bene ","bene ","well, satisfactorily, quite",11,
"beneficium, beneficii (n) ","beneficium","benefit, kindness; favor",19,
"bibo, bibere,  bibi ","bibo","to drink",30,
"bonus, bona, bonum ","bonus","good, kind",4,
"brevis, breve ","brevis","short, small, brief",16,
"cado, cadere, cecidi, casurum ","cado","to fall",12,
"caecus, -a, -um","caecus"," blind",17,
"caelum, caeli (n) ","caelum","sky",5,
"Caesar, Caesaris (m) ","Caesar","(Gaius Julius) Caesar",12,
"candidatus, -a, -um","candidatus","shining, bright, white; beautiful",33,
"capio, capere, cepi, captum ","capio","to take, capture, seize, get",10,
"caput, capitis (n) ","caput","head; leader; beginning; life; heading; chapter",11,
"careo, carēre, carui, cariturum (+abl) ","careo","to be without, to be deprived of, want, lack; be free from",20,
"carmen, carminis (n) ","carmen","song, poem",7,
"carpo, carpere, carpsi, carptum ","carpo","to harvest, pluck; seize",36,
"Carthago, Carthaginis (f) ","Carthago","Carthage",24,
"carus, cara, carum ","carus","dear",11,
"casa, casae (f)  ","casa","house, cottage, hut",21,
"causa, causae (f) ","causa","cause,  reason; case, situation. (in ablative + preceding genitive: for the sake of)",21,
"cedo, cedere, cessi, cessum ","cedo","to go, withdraw; yield to, grant, submit",28,
"celer, celeris, celere ","celer","quick, swift, rapid",16,
"cena, cenae (f) ","cena","dinner",26,
"ceno, cenāre, cenavi, cenatum ","ceno","to dine",5,
"centum ","centum ","hundred",15,
"cerno, cernere, crevi, cretum ","cerno","to distinguish, discern, perceive",22,
"certus, certa, certum ","certus","definite, sure, certain, reliable",19,
"ceteri, ceterae, cetera ","ceteri","the remaining, the rest, the other, all the others",30,
"Cicero, Ciceronis (m) ","Cicero","(Marcus Tullius) Cicero",8,
"cito ","cito ","quickly",17,
"civis, civis (m/f)* ","civis","citizen",14,
"civitas, civitatis (f) ","civitas","state, citizenship",7,
"clarus, clara, clarum ","clarus","clear, bright, famous, renowned, illustrious",18,
"clementia, clementiae (f) ","clementia","mercy, mildness, gentleness",16,
"coepi, coepisse, coeptum ","coepi","began",17,
"cogito, cogitāre, cogitavi, cogitatum ","cogito","to think, ponder, consider, plan",1,
"cognosco, cognoscere, cognovi, cognitum ","cognosco","to become acquainted with, learn, recognize",30,
"cogo, cogere, coegi, coactum (cum + ago) ","cogo","to drive/bring together, force, compel",36,
"committo, committere, comisi, comissum ","committo","to entrust, commit",15,
"communis, commune ","communis","common, general, of/for the community",20,
"comprehendo, comprehendere, comprehendi, comprehensum ","comprehendo","to grasp, seize, arrest; comprehend, understand",30,
"condo, condere, condidi, conditum ","condo","to put together/into, store; found, establish",29,
"confero, conferre, contuli, collatum ","confero","to bring together, compare; confer, bestow",31,
"coniurati, coniuratorum (m) ","coniurati","conspirators",20,
"conor, conāri, conatus sum ","conor","to try, attempt",34,
"consilium, consilii (n) ","consilium","plan, purpose, counsel, advice, judgement, wisdom",4,
"consul, consulis (m) ","consul","consul",11,
"consumo, consumere, consumpsi, consumptum ","consumo","to consume, use up",30,
"contemno, contemnere, contempsi, contemptum ","contemno","to despise, scorn",36,
"contendo, contendere, contendi, contentum ","contendo","to strive, struggle, contend; hasten",29,
"contineo, continēre, continui, contentum ","contineo","to hold together, contain, keep, enclose",21,
"contra (+acc) ","contra ","against",19,
"contundo, contundere, contudi, contusum ","contundo","to beat, crush, bruise, destroy",36,
"copia, copiae (f) ","copia","supply, abundance (plural = supplies, troops, forces)",8,
"cornu, cornus (n) ","cornu","horn",20,
"corpus, corporis (n) ","corpus","body",7,
"cotidie ","cotidie ","daily, every day",36,
"cras ","cras ","tomorrow",5,
"credo, credere, credidi, creditum ","credo","to believe, trust",25,
"creo, creāre, creavi, creatum ","creo","to create",12,
"cresco, crescere, crevi, cretum ","cresco","to increase",34,
"culpa, culpae (f) ","culpa","blame, fault",5,
"culpo, culpāre, culpavi, culpatum ","culpo","to blame, censure",5,
"cum (+abl) ","cum ","with",10,
"cum (+subjunctive) when, since, although; (+indicative) when","cum when",,31,
"cupiditas, cupiditatis (f) ","cupiditas","desire, longing, passion; avarice, cupidity",10,
"cupido, cupidinis (f) ","cupido","desire, passion",36,
"cupidus, cupida, cupidum ","cupidus","desirous, eager, fond; (often +gen.)",39,
"cupio, cupere, cupivi, cupitum ","cupio","to desire, wish, long for",17,
"cur ","cur ","why",18,
"cura, curae (f) ","cura","care, attention, caution, anxiety",4,
"curo, curāre, curavi, curatum ","curo","to care  for,  attend to; heal, cure",36,
"curro, currere, cucurri, cursum ","curro","to run, rush, move quickly",14,
"cursus, cursus (m) ","cursus","running, race; course",28,
"custodia, custodiae (f) ","custodia","protection, custody (pl: guards)",32,
"de (+ablative) ","de ","down from, from; concerning, about",3,
"dea, deae (f)  ","dea","goddess",6,
"debeo, debēre, debui, debitum ","debeo","to owe; ought, must, should",1,
"decerno, decernere,decrevi, decretum ","decerno","to decide, settle, decree",36,
"dedico, dedicāre, dedicavi, dedicatum ","dedico","to dedicate",28,
"defendo, defendere,  defendi, defensum ","defendo","to ward off; defend, protect",20,
"dehinc ","dehinc ","then, next",25,
"deinde ","deinde ","then, next, thereupon",18,
"delectatio, delectationis (f) ","delectatio","delight, pleasure, enjoyment",27,
"delecto, delectāre, delectavi, delectatum ","delecto","to  delight, charm, please",19,
"deleo, delēre, delevi, deletum ","deleo","to destroy, wipe out, erase",17,
"demonstro, demonstrāre, demonstravi, demonstratum ","demonstro","to point out, show",8,
"denique ","denique ","finally, at last, lastly",29,
"desidero, desiderāre, desideravi, desideratum ","desidero","to desire, long for, miss",17,
"deus, dei (m) ","deus","god",6,
"dexter, dextra, dextrum ","dexter","right, right",20,
"dico, dicere, dixi, dictum ","dico","to say; tell, speak; name, call",10,
"dies, diei (m) ","dies","day",22,
"difficilis, difficile ","difficilis","difficult, hard, troublesome",16,
"digitus, digiti (m) ","digitus","finger, toe",31,
"dignitas, dignitatis (f) ","dignitas","merit, prestige, dignity",38,
"dignus, digna, dignum ","dignus","(+abl.) worthy, worthy of",29,
"diligens ","diligens ","diligent, careful",27,
"diligo, diligere, dilexi, dilectum ","diligo","to esteem, love",13,
"discedo, discedere, discessi, discessum ","discedo","to go away, depart",20,
